"","ML1","ML3","ML4","ML8","ML2","ML5","ML6","ML7"
"custcat",0.87507293972606,0.28529858062002,0.0619367975497692,0.118128917123525,0.0842792659672796,0.0551598950921243,0.116519038775783,-0.32610489236487
"tollfree",0.829008360507084,-0.0121387739090528,0.0765820139600765,0.0419011496318838,-0.0344707440366822,-0.0299237176797051,-0.0295931862341027,0.348206814783343
"callwait",0.773617923395282,-0.000893632601428257,0.0491009465545149,0.0977574184073688,0.00455772292430281,0.0341161768102167,-0.0269135853502433,-0.00815006503386412
"tollmon",0.772201750577759,-0.059923377214055,0.165779469940483,0.0651621702999895,-0.00265840531434658,0.0474368445474871,0.138232262042149,0.410078698410112
"callid",0.760061436379143,0.0266626072244245,0.0503179922587531,0.108182353771566,0.0230732138578798,0.0696216831681549,-0.0854749073430911,-0.0375533320792141
"forward",0.746968370201932,0.0350911319566871,0.0520916546476427,0.133244869420115,0.0306693283916211,0.0494321015636912,-0.0593185482020943,-0.058331692856792
"confer",0.712917073159605,0.0227222522828032,0.0976319324465036,0.120657885131205,-0.0141907836690978,0.0740161446450262,-0.0103840448220756,-0.0349024847131017
"pager",0.507373008157725,0.439460246162269,-0.0396851335990209,0.0297205471402252,0.0304316417735985,0.312425426367438,0.0588888573707259,-0.0304052369599754
"voice",0.46498179001345,0.41989197279406,-0.0261144429246544,0.074507605499892,0.0111666318631248,0.286990022126164,0.0291640933986796,-0.0863960957691054
"equipmon",0.107357583351815,0.965477292798732,-0.0527105353957365,0.0749861230032033,0.015393095851073,0.0123119830758451,0.0232115281429339,0.0848851063284246
"equip",-0.0162161039130876,0.96422907384769,-0.0904732852948143,0.00983958234241975,0.0184315673580586,-0.134886663662266,-0.049539952563513,0.0981382415471125
"internet",0.0358192491089478,0.639389554602696,-0.0953247717223458,-0.0333136676402741,0.0431471657652335,0.0945858007880316,-0.0105897784362475,-0.065571945108111
"ebill",-0.0261936801016722,0.602729361675562,-0.0971350461000159,-0.0787880025543273,-0.0360174659616563,0.0919105032849885,-0.00629568567146065,-0.0587470767646084
"ed",0.0493160129228823,0.478533538286268,-0.112880885595232,-0.0794673128411141,0.013034544599468,0.0952150920595031,0.0597759279879842,-0.0549336415701753
"age",0.0191358013296741,-0.0842711930971692,0.970753082378883,0.0872637824087086,-0.0279160686304361,0.0484475254896946,-0.102062787778498,-0.0163407647146447
"employ",0.108804110168274,-0.153224932151104,0.678168150676579,0.13952877681056,-0.0405141060508367,-0.0235697136231903,0.140919084787373,0.0350386127376535
"address",0.0174908091464625,-0.0930874150373971,0.671706686704943,0.158561591754065,-0.0435600761105187,-0.0292893123897709,0.148211423070589,-0.0205124798083375
"retire",0.0171383359603198,-0.0750764894240324,0.423403237234552,0.0175803163830833,-0.0826667146853557,-0.0140778025605679,-0.0549793078859123,-0.00331320234286067
"income",0.130369345151782,0.00378110465890893,0.34652135261171,0.00738829831013701,-0.0657717064781741,0.0390445709789748,0.107378827325745,0.0341097004867235
"callcard",0.370555638075482,-0.0570894728590376,0.206421749843824,0.743817180583386,-6.65243356341938e-05,0.0476330393383998,0.00566784787564037,-0.0133122968595633
"cardmon",0.273232719137489,-0.0319354157797998,0.232115096631134,0.678986649020736,0.0435584950648212,0.0659719990821123,0.0422697718934624,0.015204088711881
"marital",0.0184794331644901,-0.0186604689959122,0.014510256915369,0.0614703058543852,0.987074263466822,0.0324112395819381,0.0817151740047275,0.0909833266835462
"reside",0.0619857306396451,-0.0180172867320474,-0.240488216048004,0.00685716075897297,0.623998653017064,0.0290664553131329,0.0760868567248559,0.0492001070983751
"region",0.00497653993471387,-0.0182267009951405,0.0124452002865969,0.00258451562572924,-0.0888199285579464,0.0118276985728167,0.0092251859172365,0.055674946452425
"wiremon",0.489751832214114,0.501759570578571,0.0448017129851112,0.107759288978922,0.00103831437886752,0.675699717850947,0.169203519328556,0.067607936430985
"wireless",0.488590508722994,0.489122050807533,-0.00984355746730914,0.0960722066123215,0.00165631900683964,0.594457346195901,0.0477989112476782,0.0246558948758024
"tenure",0.0397744991817919,-0.0908513892932447,0.524265089753711,0.441396439790943,0.0718064112123505,-0.0639724159383857,0.594582223733713,-0.00477111229573095
"longmon",0.0528259126674256,-0.0692317292292429,0.441139851613759,0.345112391158953,0.0605932700844124,-0.107624961931189,0.517670512253252,0.0142234325831285
"multline",0.0861755736814044,0.362687146670807,0.196614757069085,0.0922352526066313,0.0721638821723596,-0.0244272520301236,0.482950013058234,-0.235555462870647
"gender",-0.0109260336320461,0.00101905706750482,-0.00202122590438582,-0.0101399873057031,0.00324290033929865,0.0118858925239558,0.0600124268180964,0.00771334813383596
